Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
DataInc,Data,Unknown,Estonia,Recovery,Hybrid,1581,6,213,11.8,275.19,15,-0.003,2024,3,224
GlobalGroup,Marketing,Series D,Colombia,Recovery,Office,629,10,24,175,139.45,11,-0.012,2024,10,135
AIGroup,Recruiting,Series E,South Korea,Stable,Remote,468,12,202,170.8,63.07,10,0.001,2022,1,76
Momentive,Finance,Seed,Ireland,Downturn,Hybrid,25,2,64,2.4,7.99,11,-0.071,2022,10,2
QuantumVentures,Real Estate,Series F,Saudi Arabia,Recovery,Office,950,13,186,346.3,418.97,12,-0.064,2024,8,248
DigitalDynamics,Transportation,Series G,Lithuania,Downturn,Office,1240,15,226,822.6,390.59,15,0.068,2022,8,165
SmartSystems,Support,Series C,China,Recession,Remote,286,6,203,80.3,68.73,8,-0.034,2023,7,82
DigitalInc,Data,Series B,Belgium,Stable,Hybrid,155,5,32,35.9,52.6,15,-0.045,2020,1,51
Workit Health,Media,Unknown,Indonesia,Recession,Hybrid,658,10,101,53,176.22,17,-0.056,2020,6,180
TechCorp,Unknown,Series I,Bulgaria,Recovery,Office,1627,11,206,984.3,361.48,20,-0.016,2024,7,280
Better.com,Legal,Series A,Greece,Recession,Office,91,2,7,6.3,24.63,13,-0.008,2020,11,16
AILabs,Retail,Series B,Luxembourg,Downturn,Remote,185,4,130,35.4,41.59,6,-0.007,2022,7,26
NexusDynamics,Finance,Series D,Italy,Stable,Hybrid,663,11,142,135.7,202.48,16,0.039,2023,12,161
CyberCube,Real Estate,Post-IPO,Ukraine,Stable,Office,6782,46,114,3631.6,1928.49,8,-0.044,2024,1,1217
SmartSolutions,Security,Unknown,United Kingdom,Recovery,Office,860,12,189,85,405.51,20,-0.042,2024,12,56
NexusTechnologies,Logistics,Series F,Uruguay,Recession,Office,1046,8,147,501,334.14,18,-0.029,2020,5,165
Zume,Finance,Series B,Malaysia,Downturn,Hybrid,195,5,113,27.2,41.51,9,-0.133,2022,5,19
TextNow,Consumer,Series J,Thailand,Recession,Remote,2386,17,12,1822.7,749.64,12,-0.015,2023,3,478
Alice,Healthcare,Seed,Ghana,Recovery,Remote,44,2,1,3.5,12.2,17,0.026,2021,4,14
Better.com,Crypto,Subsidiary,United States,Recession,Hybrid,4271,32,193,954.7,1768.86,14,-0.045,2020,6,1071
Fivetran,Food,Series H,Hungary,Recovery,Hybrid,1915,19,34,1158.9,536.76,12,-0.021,2024,10,313
QuantumDynamics,Transportation,Series H,Cayman Islands,Recovery,Office,1317,10,40,1001.1,385.53,14,0.023,2021,8,410
IronNet,Sales,Seed,Singapore,Recovery,Hybrid,26,1,205,2,4.09,11,0.037,2024,10,4
TechSolutions,Security,Series D,Austria,Recovery,Hybrid,419,7,122,144.3,157.92,12,0.006,2024,9,131
TechLabs,Recruiting,Series C,Bulgaria,Recovery,Hybrid,306,5,206,72.6,65.69,9,-0.078,2024,4,70
GlobalLabs,Crypto,Series A,United Kingdom,Growth,Office,104,3,118,10.9,25.64,12,-0.022,2021,12,14
GlobalTechnologies,Manufacturing,Series B,United Arab Emirates,Recession,Office,170,7,63,34.3,43.14,13,0.037,2020,3,38
DigitalInc,Recruiting,Series F,Russia,Recovery,Hybrid,1155,9,149,359.7,439.83,15,0.016,2021,8,229
AIInc,Education,Series F,Argentina,Recovery,Hybrid,1209,7,35,436.7,538.08,16,0.003,2024,8,328
Klaviyo,Support,Series E,Myanmar,Recovery,Hybrid,699,9,236,228.6,220.29,12,-0.021,2021,6,83
OSlash,AI,Series F,India,Recession,Hybrid,721,13,153,300.1,230.07,12,-0.009,2023,8,133
Parsable,Energy,Series C,Estonia,Recession,Hybrid,259,7,213,66.1,67.39,12,0.052,2023,8,49
Karat Financial,Product,Unknown,Luxembourg,Downturn,Remote,861,8,130,23.9,383.4,18,-0.028,2022,5,194
Magnite,Other,Private Equity,Netherlands,Recovery,Hybrid,8155,12,222,727.7,1753.12,13,0.043,2024,10,769
GlobalInnovations,Energy,Seed,Luxembourg,Recession,Hybrid,26,2,130,3.6,7.96,9,0.044,2020,10,2
Coinsquare,Crypto,Subsidiary,Denmark,Growth,Remote,2887,37,53,1433.7,609.67,20,-0.007,2021,12,626
QuantumLabs,Sales,Series D,Portugal,Recovery,Hybrid,685,7,123,111,169.65,20,0.014,2024,3,115
NexusInnovations,Support,Series H,Italy,Recession,Office,1660,14,142,1416.9,596.32,12,0.053,2020,8,248
DataSolutions,Real Estate,Post-IPO,Philippines,Recession,Remote,6346,12,137,2211.3,2437.22,14,-0.068,2023,5,2021
ApexVentures,Marketing,Unknown,Russia,Downturn,Remote,1645,15,149,43.5,545.9,14,-0.009,2022,6,193
TechDynamics,Education,Private Equity,New Zealand,Downturn,Hybrid,4888,25,231,1022.1,768.6,21,-0.008,2022,10,549
Avantage Entertainment,Legal,Seed,China,Stable,Hybrid,29,1,204,2.6,5.91,19,0.065,2024,1,4
QuantumInnovations,Travel,Unknown,Estonia,Recovery,Hybrid,993,6,213,48.3,290.21,17,-0.004,2024,5,212
CloudVentures,Consumer,Series H,Indonesia,Stable,Hybrid,1559,16,101,1037.3,462.91,17,0.018,2023,10,530
GlobalInnovations,HR,Series F,Lithuania,Recession,Remote,1383,9,226,375.9,443.99,14,0.025,2023,4,457
TechInnovations,Finance,Subsidiary,South Africa,Recovery,Hybrid,6855,39,39,730.5,2062.07,10,-0.048,2021,2,966
DigitalVentures,Education,Post-IPO,Singapore,Recession,Office,11803,16,205,3513.6,4274.48,11,-0.031,2020,7,965
GlobalVentures,Legal,Series F,Uruguay,Downturn,Remote,914,8,147,401,201.99,21,-0.021,2022,9,165
GlobalDynamics,Fitness,Series I,Cayman Islands,Recession,Office,1482,10,40,1573.4,513.26,13,0.008,2023,8,249
ApexVentures,Consumer,Private Equity,Philippines,Recession,Office,1092,38,137,1493.5,207.03,20,-0.021,2020,4,206
Juni,AI,Post-IPO,United Kingdom,Recovery,Remote,10153,16,118,1983.8,3641.14,11,-0.031,2024,7,2478
NexusLabs,Travel,Seed,United Kingdom,Recession,Office,23,3,118,3.6,7.7,15,0.01,2020,6,2
NexusSystems,AI,Series H,Ghana,Recession,Office,1541,15,1,865.6,408.86,11,0.009,2020,9,300
Typeform,Recruiting,Series D,France,Recession,Office,376,6,171,173.1,130.33,11,0.03,2020,11,97
Beat,Other,Private Equity,Hungary,Growth,Hybrid,9792,20,34,611.1,1762.73,15,0.007,2021,11,1349
Vedantu,Security,Seed,Indonesia,Recovery,Hybrid,24,3,101,3.8,10.03,18,-0.009,2024,5,4
Moove,Construction,Series A,Belgium,Recovery,Hybrid,136,4,79,7.1,30.43,16,-0.038,2024,4,48
QuantumGroup,Legal,Series J,Bulgaria,Recession,Remote,2462,20,206,1556.4,1123.81,15,0.014,2020,9,646
Niche,Security,Series C,Japan,Stable,Office,315,8,217,84.7,132.63,12,-0.022,2020,2,57
SmartCorp,Retail,Subsidiary,Australia,Recession,Remote,3903,48,138,860.4,806.42,12,-0.053,2023,8,624
TechGroup,Recruiting,Series G,Switzerland,Recession,Hybrid,1460,17,208,681.7,579.06,15,-0.026,2023,6,216
SmartGroup,Media,Unknown,Sweden,Recession,Office,832,18,133,71.5,258.24,11,0.002,2020,3,216
Examedi,Manufacturing,Series F,Belgium,Downturn,Office,892,9,32,561.7,354.63,14,-0.006,2022,4,107
GlobalSolutions,Other,Series B,Ireland,Recession,Office,197,5,64,24,59.78,10,-0.041,2020,10,28
NexusTechnologies,Data,Series C,Kenya,Recovery,Office,388,9,152,68.5,85.05,10,-0.036,2021,8,46
Mural,Education,Series F,Seychelles,Recovery,Hybrid,1017,9,163,498.7,462.97,22,0.026,2024,6,196
SmartVentures,Support,Series E,Luxembourg,Recession,Office,774,6,130,205.4,236.94,13,-0.092,2020,9,119
SmartSolutions,Logistics,Subsidiary,Germany,Recession,Office,2939,50,151,870.8,1074.84,23,0.01,2023,6,662
QuantumDynamics,Other,Series C,Portugal,Downturn,Hybrid,295,4,51,63.2,50.98,12,-0.013,2022,7,28
Volta,Education,Series B,United Arab Emirates,Recession,Hybrid,133,4,63,23.7,61.14,12,-0.052,2020,6,27
CloudInnovations,Crypto,Seed,United States,Stable,Office,40,2,154,2.4,12.45,11,-0.091,2022,3,10
SmartCorp,Finance,Series D,Seychelles,Recession,Hybrid,498,7,15,87.9,60.34,12,-0.023,2023,7,127
Arch Oncology,Real Estate,Series F,Austria,Recession,Office,1111,11,225,375.8,234.09,15,-0.052,2020,4,308
GlobalDynamics,Healthcare,Post-IPO,Greece,Recession,Hybrid,9749,15,7,3035.3,2615.76,13,0.067,2020,4,2044
DataInc,Travel,Post-IPO,Cayman Islands,Recovery,Office,3231,32,40,4137.8,1488.61,15,-0.056,2024,3,595
DataTechnologies,Fitness,Series J,Japan,Downturn,Remote,3266,23,217,2152.2,825.95,16,-0.034,2022,8,205
AILabs,Data,Subsidiary,Ukraine,Recession,Office,5029,24,114,183.4,1785.87,14,-0.025,2023,4,766
Beam Benefits,Real Estate,Acquired,Bahrain,Downturn,Office,2560,29,135,248.6,922.62,18,-0.118,2022,10,781
Atome,AI,Subsidiary,Ghana,Recession,Office,6916,23,1,602.6,1681.83,20,0.029,2020,4,619
NexusGroup,Logistics,Post-IPO,Bahrain,Recession,Hybrid,9128,20,135,1968.7,2704.33,11,0.006,2023,9,1165
CloudCorp,Other,Series C,Saudi Arabia,Recession,Hybrid,333,7,186,63.1,56.24,13,0.006,2020,7,35
PayPal,Energy,Subsidiary,New Zealand,Recession,Office,5350,18,231,1138.4,1748.89,16,0.028,2020,6,1436
SmartSystems,Logistics,Series E,Singapore,Recovery,Remote,797,12,205,252.9,266.59,19,-0.003,2024,9,147
AILabs,Sales,Series H,Finland,Downturn,Office,1783,11,90,1025.6,476.31,16,-0.08,2022,10,360
QuantumDynamics,Healthcare,Series F,Ghana,Stable,Office,745,12,1,356,168.89,13,-0.011,2022,3,213
GlobalSolutions,Media,Series D,Russia,Downturn,Hybrid,572,8,149,155.8,213.01,18,-0.054,2022,11,211
GlobalInc,Transportation,Acquired,Luxembourg,Recession,Office,2958,8,130,595.5,1149.52,17,0.026,2020,9,703
DigitalInnovations,Crypto,Series E,Myanmar,Downturn,Hybrid,541,12,236,229.6,223.08,7,-0.115,2022,7,70
Playdots,Logistics,Series B,Kenya,Downturn,Hybrid,204,5,152,22.1,49.18,16,-0.055,2022,8,19
DigitalCorp,Legal,Unknown,Brazil,Recession,Office,576,6,74,67.4,215.64,10,-0.015,2023,7,136
AISolutions,Retail,Series H,Kenya,Recession,Office,1672,18,152,1287.7,379.2,13,0.024,2023,5,154
QuantumSolutions,Travel,Series J,South Korea,Recovery,Hybrid,3332,19,202,1811.4,1248.69,15,0.041,2021,4,871
DataSystems,Manufacturing,Post-IPO,Ukraine,Recession,Office,5072,32,114,3316.6,674.26,12,0.01,2020,7,664
NexusSystems,Food,Series I,Czech Republic,Recession,Office,2065,21,178,1884.3,857.73,8,0.04,2020,4,635
CloudSystems,Data,Unknown,Seychelles,Recession,Office,1262,8,224,27.3,429.32,21,0.014,2020,9,170
NexusCorp,Legal,Series F,Argentina,Stable,Remote,1200,12,35,425.7,473.37,13,-0.022,2022,3,201
AIDynamics,HR,Acquired,Turkey,Recovery,Hybrid,2236,17,99,241.7,349.35,8,-0.004,2024,11,227
NexusTechnologies,Consumer,Series C,Saudi Arabia,Recession,Remote,282,8,186,75.7,72.74,15,-0.044,2023,6,40
AICorp,Media,Series F,South Korea,Recovery,Remote,1030,13,202,363.2,230.88,17,-0.067,2021,4,340
DataVentures,Other,Series D,Sweden,Growth,Remote,638,7,133,107.7,214.73,13,0.031,2021,9,221
TechInc,Travel,Unknown,Vietnam,Recession,Remote,1023,10,88,47.5,322.96,13,-0.027,2023,6,161
TechGroup,Unknown,Series J,Uruguay,Growth,Hybrid,3088,16,147,2385.6,608.42,20,0.003,2021,11,789
QuantumDynamics,Transportation,Series H,Peru,Recession,Office,1652,14,121,930,471.38,21,0.031,2020,5,556
Yojak,Consumer,Series H,Greece,Recovery,Remote,1829,11,7,905.5,782.86,13,-0.02,2024,4,176
AIDynamics,Hardware,Series A,Myanmar,Downturn,Hybrid,135,3,236,11.5,41.53,12,-0.055,2022,4,32
TechLabs,Fitness,Series I,Italy,Downturn,Hybrid,2015,13,142,1365.2,884.86,14,-0.075,2022,4,276
ApexSystems,Marketing,Series A,Estonia,Recession,Hybrid,49,5,213,6.2,10.39,14,-0.008,2020,8,12
DigitalVentures,Consumer,Seed,Luxembourg,Recovery,Office,26,1,130,4.1,8.27,19,-0.042,2024,6,7
DataGroup,Other,Seed,Estonia,Recovery,Hybrid,30,3,213,2.6,9.92,12,0.055,2024,10,3
NexusInnovations,Retail,Seed,Cayman Islands,Recovery,Office,34,1,40,2.7,10.52,21,-0.018,2024,11,6
NexusInc,Crypto,Series D,Netherlands,Recovery,Hybrid,499,5,222,125.5,151.75,13,-0.126,2024,8,92
DataVentures,Transportation,Unknown,Saudi Arabia,Recovery,Office,1047,11,186,70.2,315.53,8,0.04,2021,3,119
NexusDynamics,Product,Series H,Canada,Stable,Office,2047,14,38,1147.3,649.27,13,0.043,2022,1,261
DigitalDynamics,Infrastructure,Series H,Uruguay,Recession,Office,1319,12,147,1165.9,346.82,12,-0.003,2023,9,251
FullStory,Legal,Series H,Japan,Recovery,Remote,1624,15,217,951.9,372.57,15,0.031,2021,1,407
CyberGRX,Recruiting,Series C,Ireland,Recovery,Remote,269,6,54,70.5,56.94,17,-0.029,2021,2,78
CloudInc,Sales,Series I,Austria,Recession,Hybrid,1400,20,122,1266.9,442.41,19,0.015,2023,2,86
FamPay,Transportation,Series F,Spain,Downturn,Hybrid,1093,13,132,497.2,189.49,21,0.002,2022,10,328
DataSolutions,AI,Series C,United Kingdom,Recovery,Hybrid,233,4,68,83.8,115.34,16,0.003,2024,5,48
ApexSolutions,Education,Series D,Indonesia,Recession,Remote,515,5,101,113.9,231.79,11,-0.055,2023,4,49
DigitalCorp,Legal,Series I,Poland,Recession,Hybrid,2868,11,125,1353.9,1007,20,-0.014,2023,1,268
TechVentures,Fitness,Unknown,Ireland,Growth,Remote,481,13,54,54.6,175.63,20,-0.043,2021,9,94
DataSolutions,Unknown,Unknown,Belgium,Recession,Remote,1650,12,79,51.5,344.5,10,0.049,2023,3,350
QuantumSolutions,Aerospace,Series J,Canada,Recession,Hybrid,2627,14,148,1817.2,632.91,18,-0.015,2023,4,327
DigitalLabs,Product,Series I,South Korea,Recovery,Remote,2223,17,202,1483.3,485.66,10,-0.026,2021,4,329
Workrise,HR,Series B,Philippines,Recovery,Office,240,4,137,22.5,40.11,13,0.05,2021,2,42
DataSystems,Hardware,Series I,Kenya,Recession,Hybrid,2663,11,152,1390,725.17,15,0.022,2023,8,446
DigitalGroup,Retail,Unknown,New Zealand,Downturn,Remote,414,20,231,33.5,125.8,12,-0.038,2022,7,39
SmartGroup,Marketing,Series E,Ireland,Stable,Hybrid,720,9,64,220.5,181.12,16,-0.002,2022,3,77
GlobalLabs,Product,Series I,Ghana,Recession,Hybrid,2614,21,1,1715.4,727.74,11,0.037,2023,6,279
ApexTechnologies,Real Estate,Private Equity,Romania,Recovery,Remote,5631,15,50,720.9,1567.36,16,-0.053,2021,7,1256
Upstart,Construction,Series D,Canada,Recession,Hybrid,440,10,218,113.9,161.11,11,-0.019,2023,9,62
QuantumVentures,AI,Seed,Denmark,Recession,Office,24,1,53,2.5,4.05,12,0.029,2020,3,1
SmartLabs,Infrastructure,Seed,Saudi Arabia,Recovery,Hybrid,37,2,186,3.2,10.54,15,0.009,2024,7,5
TechLabs,Legal,Subsidiary,Cayman Islands,Recession,Remote,4099,5,40,644.6,1092.69,14,-0.083,2023,5,1216
Philips,Recruiting,Private Equity,Pakistan,Recession,Office,3143,12,106,1037,922.77,15,-0.022,2020,3,408
Caribou,Product,Seed,Uruguay,Growth,Office,30,2,147,1.8,7.39,14,-0.035,2021,10,4
ApexInc,Travel,Series J,Thailand,Downturn,Office,2680,23,12,1684,751.08,19,0.013,2022,11,527
NexusCorp,Unknown,Seed,Bulgaria,Stable,Hybrid,29,1,206,3,8.19,16,-0.04,2023,12,2
TechInnovations,Infrastructure,Seed,Turkey,Stable,Remote,32,2,99,2.9,12.65,11,-0.009,2024,2,9
Quora,Other,Series A,Hong Kong,Recovery,Hybrid,89,5,92,6.6,24.26,19,-0.058,2021,8,15
SmartInc,Data,Private Equity,Peru,Downturn,Office,3746,33,121,1086.9,837.74,19,0.021,2022,7,646
Inmobi,Crypto,Series F,United Kingdom,Recession,Hybrid,1116,12,46,333.1,280.83,17,-0.077,2023,2,329
Enphase Energy,Healthcare,Series D,New Zealand,Recovery,Remote,684,10,9,136.2,196.32,14,-0.02,2024,12,226
DataSystems,Sales,Series D,Russia,Downturn,Hybrid,659,11,149,184.8,242.44,8,-0.045,2022,6,150
Ro,Logistics,Unknown,Italy,Recovery,Remote,1077,15,142,90.9,276.63,11,-0.07,2021,1,99
Culture Trip,Product,Series H,Japan,Recession,Hybrid,1407,18,217,1275,411.84,8,-0.039,2020,8,115
CloudLabs,Hardware,Series I,Canada,Recovery,Hybrid,1522,19,199,1874.9,286.12,12,-0.073,2024,6,339
TechSolutions,Crypto,Series E,Bahrain,Recession,Hybrid,1097,13,135,240.8,202.75,11,-0.039,2023,8,215
Avo,Product,Private Equity,Hungary,Recession,Remote,3421,36,34,1149.7,1207.23,19,-0.049,2020,3,707
DigitalGroup,Retail,Series G,United Arab Emirates,Stable,Office,1540,12,63,747.5,494,10,-0.035,2024,2,505
TechCorp,Education,Series A,Italy,Recession,Office,63,4,142,8.1,18.97,9,-0.015,2023,4,18
NexusSolutions,Infrastructure,Series B,Colombia,Recovery,Remote,196,5,24,24.4,33.19,10,0.019,2021,7,45
TechGroup,Hardware,Series E,Austria,Downturn,Hybrid,885,11,122,275.6,146.34,9,-0.004,2022,4,182
TechInc,Fitness,Post-IPO,Italy,Downturn,Hybrid,5385,35,142,2551.8,1705.02,15,-0.041,2022,4,1267
DigitalGroup,Education,Unknown,United States,Downturn,Office,1346,18,58,58.3,421.48,9,-0.031,2022,6,243
Pana,Infrastructure,Seed,Seychelles,Recession,Hybrid,38,3,15,2.7,11.54,12,0.037,2023,3,8
CloudInc,Manufacturing,Unknown,Ireland,Recovery,Remote,857,19,64,50.3,256.95,17,-0.022,2024,9,102
TechInnovations,Energy,Series I,Peru,Recovery,Hybrid,2105,18,121,1105.7,635.04,20,-0.08,2021,3,736
AILabs,Real Estate,Post-IPO,South Africa,Recovery,Hybrid,6640,49,39,2890.1,1907.72,15,-0.101,2024,11,1618
QuantumVentures,Transportation,Unknown,Brazil,Recovery,Office,1426,1,104,18.3,501.27,11,0.076,2021,4,396
QuantumGroup,Marketing,Series I,Canada,Recovery,Hybrid,2126,17,169,943.4,517.16,17,-0.059,2021,2,576
SmartTechnologies,AI,Private Equity,Ghana,Recession,Office,6151,13,1,1275.5,2260.93,14,-0.071,2020,4,1044
CloudSystems,Hardware,Post-IPO,Norway,Downturn,Hybrid,6463,38,194,4014.3,1564.57,10,0.042,2022,11,830
TechInnovations,Media,Series I,Vietnam,Growth,Office,1704,18,88,1520.8,501.49,8,0.032,2021,11,401
ApexDynamics,Consumer,Private Equity,Malaysia,Recession,Hybrid,4374,26,113,1290.4,725.35,9,0.02,2023,3,779
DataVentures,Marketing,Acquired,Ireland,Growth,Hybrid,2055,8,64,403.8,715.69,14,-0.003,2021,12,319
Friday Health Plans,Unknown,Unknown,Pakistan,Stable,Hybrid,1054,8,106,64.3,350.31,14,0.039,2024,2,228
AITechnologies,Food,Series D,Italy,Recovery,Hybrid,454,9,142,95.5,54.38,13,0.013,2021,4,173
StreamSets,Manufacturing,Series G,Czech Republic,Downturn,Remote,1119,10,178,716.7,214.36,9,-0.001,2022,11,248
GlobalDynamics,Marketing,Series E,Canada,Stable,Hybrid,904,13,199,288.7,271.07,10,0.01,2024,2,188
NexusLabs,Infrastructure,Series A,Philippines,Recession,Office,107,2,137,10.5,44.96,18,0.025,2020,6,15
NexusLabs,HR,Subsidiary,Sweden,Recovery,Hybrid,6496,10,133,678.1,928.96,18,-0.006,2021,7,907
DigitalLabs,Retail,Seed,Bulgaria,Recession,Office,32,1,206,1.1,4.72,9,-0.054,2020,9,10
DigitalInc,Data,Series J,Romania,Stable,Remote,2178,22,33,1849.9,622.37,16,0.048,2023,11,422
Toast,Education,Series D,United Kingdom,Recession,Remote,323,11,118,137.3,94.39,12,0.029,2023,2,63
Impossible Foods,Support,Series G,Nigeria,Downturn,Hybrid,1494,15,115,703.7,584.64,12,0.002,2022,9,214
CodeCombat,Data,Series I,Portugal,Growth,Office,1894,20,123,1575,497.09,10,0.02,2021,9,403
Nav,AI,Series J,Kenya,Recession,Remote,2387,11,152,1752.7,784.26,13,0.002,2023,5,371
TechSystems,Real Estate,Series F,Ireland,Recovery,Hybrid,944,14,64,409,303.29,9,-0.034,2021,8,256
SmartSystems,Retail,Series A,United Arab Emirates,Stable,Office,64,2,63,9,15.69,23,0.001,2022,1,17
AIVentures,Infrastructure,Unknown,Singapore,Growth,Remote,379,16,205,59.7,90,9,-0.076,2021,10,115
QuantumSystems,Legal,Seed,Austria,Recovery,Hybrid,13,3,225,2.1,2.73,10,-0.011,2024,8,1
Hootsuite,Unknown,Seed,Kenya,Downturn,Office,23,2,152,3.1,7.55,16,0.069,2022,7,3
GlobalCorp,Real Estate,Series C,Vietnam,Downturn,Hybrid,208,4,91,74.4,63.33,13,-0.006,2022,7,48
GlobalInnovations,Construction,Series D,Vietnam,Recession,Office,635,8,88,149.2,144.53,18,0.063,2020,3,60
Properly,Energy,Series H,Denmark,Recession,Hybrid,1552,19,53,1021.7,542.58,12,-0.023,2020,3,287
QuantumInnovations,Marketing,Series A,United Kingdom,Recovery,Office,88,2,127,8.2,21.21,11,-0.002,2021,7,13
Fifth Season,Logistics,Series F,Russia,Recession,Office,1025,13,149,471.3,303.91,21,-0.061,2020,10,202
Endowus,Legal,Subsidiary,Norway,Recession,Hybrid,1485,7,194,1307.8,277.33,17,-0.023,2020,11,398
Commure,Infrastructure,Series J,Netherlands,Stable,Office,1985,19,222,1616.8,557.69,14,0.025,2023,12,449
NexusInc,Media,Series A,Bulgaria,Recession,Hybrid,59,4,206,6.3,20.77,12,-0.04,2023,5,14
GlobalTechnologies,AI,Series B,Vietnam,Recession,Office,211,5,88,21.3,32.92,15,0.029,2020,6,43
DataDynamics,Travel,Series B,United Arab Emirates,Recovery,Hybrid,136,3,63,15.8,28.67,12,-0.051,2021,7,12
CloudCorp,Energy,Private Equity,Austria,Stable,Hybrid,2224,39,225,1665.4,949.85,13,0.063,2023,12,293
SmartInc,Construction,Series J,France,Growth,Office,2268,20,219,2030.8,670.11,21,-0.091,2021,12,560
QuantumInnovations,Consumer,Series D,Bulgaria,Stable,Hybrid,401,6,206,150.6,127.41,8,0.027,2024,1,96
AICorp,Security,Series A,New Zealand,Recovery,Hybrid,97,5,9,10,29.02,14,-0.066,2024,7,25
DataTechnologies,Transportation,Series F,Pakistan,Recession,Hybrid,1013,7,116,354.8,362.12,9,0.067,2020,11,172
Vibrent Health,Fitness,Post-IPO,New Zealand,Recovery,Office,10920,9,9,1950.4,2036.55,14,0.021,2024,11,3691
Daraz,Real Estate,Series H,Russia,Recession,Office,1579,19,149,863.8,452.15,16,-0.027,2020,11,461
NexusInnovations,Travel,Series F,Seychelles,Recovery,Office,1205,14,163,352,224.82,7,-0.072,2024,11,220
SmartGroup,Travel,Series F,Hong Kong,Recovery,Remote,1072,12,92,396,401.81,12,0.015,2024,5,142
NexusSystems,Infrastructure,Series J,Singapore,Recovery,Office,2475,19,205,1962.9,727.57,12,0.01,2024,5,581
DataSystems,Legal,Subsidiary,Estonia,Recession,Office,4582,19,213,1001.3,1047.26,17,0.034,2020,8,485
Modern Treasury,Manufacturing,Series F,Pakistan,Recovery,Remote,764,7,106,395.2,301.05,11,-0.017,2021,7,43
Augury,Data,Series I,Austria,Recovery,Hybrid,1859,10,122,947.9,481.77,10,0.011,2021,4,441
DataInc,Media,Acquired,Colombia,Recovery,Office,2820,16,24,747.5,917.36,13,0.008,2024,9,410
CloudLabs,Food,Series I,Canada,Recovery,Hybrid,2234,14,38,1360.8,513.96,13,0.044,2021,5,750
Sensor Tower,Food,Series H,Thailand,Recovery,Hybrid,1742,16,12,1334.2,379.54,10,0.025,2021,4,195
CloudInnovations,Media,Unknown,Vietnam,Recession,Office,948,16,91,88.3,387.08,11,0.016,2020,9,146
QuantumSolutions,Other,Series J,Egypt,Recession,Hybrid,2945,17,37,1420,1037.03,15,-0.082,2023,1,533
Frontdesk,Infrastructure,Acquired,Bahrain,Recovery,Hybrid,2528,26,135,712.6,920.95,17,0.059,2021,2,750
AIInc,Transportation,Private Equity,Greece,Recovery,Remote,4106,13,7,1253.6,1642.21,13,0.018,2021,7,594
NexusInnovations,Finance,Private Equity,United States,Growth,Remote,4442,30,179,706.9,848.24,17,-0.071,2021,9,428
QuantumLabs,Healthcare,Series A,Finland,Stable,Hybrid,100,4,70,11.5,16.91,13,0.013,2023,11,17
HighRadius,Finance,Series H,Netherlands,Recovery,Hybrid,1979,13,222,803.5,734.61,17,-0.057,2024,8,382
GoDaddy,Sales,Series G,Pakistan,Stable,Hybrid,1620,17,106,823.6,429.78,13,-0.038,2022,3,294
GlobalSolutions,Support,Series H,Portugal,Recession,Office,1734,18,51,851.2,478.48,14,-0.043,2020,9,528
SiriusXM,Manufacturing,Series B,Estonia,Recovery,Remote,108,4,213,28.7,50.14,18,-0.013,2024,3,13
Fivetran,Real Estate,Acquired,South Korea,Recession,Office,570,24,202,578.2,236.6,17,-0.078,2020,10,86
CloudInnovations,Media,Series I,Denmark,Recovery,Remote,2323,12,53,1717.5,639.84,11,-0.016,2024,10,648
CloudCorp,Education,Series B,Bahrain,Recovery,Hybrid,158,3,135,37.6,47.37,12,-0.004,2021,8,28
DataSystems,Fitness,Series A,United States,Recession,Hybrid,67,3,161,12.1,17.33,16,-0.032,2023,4,9
QuantumGroup,Transportation,Series G,Australia,Recovery,Remote,1394,14,212,769.5,341.77,17,0.022,2021,5,119
QuantumSystems,Real Estate,Acquired,Ukraine,Downturn,Hybrid,2183,8,114,590,595.43,10,-0.068,2022,5,751
NexusInnovations,Retail,Private Equity,Canada,Recession,Hybrid,4758,18,233,1215.7,1272.93,11,0.059,2023,5,1350
NexusCorp,Healthcare,Series H,Nigeria,Recession,Office,1621,19,115,657.9,580.27,17,0.032,2023,8,280
DigitalInc,Finance,Series I,New Zealand,Recession,Office,2043,14,231,1415.5,973.85,12,-0.055,2020,9,183
QuantumCorp,Security,Series C,Argentina,Stable,Office,362,8,35,60.1,128.97,19,0.049,2020,1,80
AICorp,Food,Private Equity,Denmark,Recession,Hybrid,4246,8,53,1000.4,1176.27,8,0.012,2023,5,463
DigitalCorp,Legal,Series E,United Kingdom,Recovery,Hybrid,617,12,118,316.5,172.49,17,-0.003,2021,7,108
TechInc,Other,Series D,Nigeria,Recovery,Office,377,11,96,115.1,149.6,12,-0.016,2024,12,65
Gokada,Retail,Series F,Saudi Arabia,Recovery,Hybrid,1234,10,186,380.5,479.1,7,-0.022,2024,6,452
AIInnovations,Product,Subsidiary,Russia,Stable,Office,5587,48,149,851.9,944.92,12,0.017,2023,12,1103
CloudInc,Data,Seed,Italy,Stable,Office,27,3,142,4.3,6.56,13,-0.045,2020,1,6
Breathe,HR,Series A,Turkey,Recovery,Hybrid,72,4,99,10.7,21.24,11,-0.069,2024,6,16
